City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mount Gambier,AU,2022-02-05 02:26:47,-37.8333,140.7667,75.11,41,40,8.05
1,Ust-Maya,RU,2022-02-05 02:26:48,60.4167,134.5333,-20.7,94,92,1.9
2,Saint-Augustin,CA,2022-02-05 02:26:48,51.226,-58.6502,-9.26,86,100,10.04
3,Arraial Do Cabo,BR,2022-02-05 02:26:48,-22.9661,-42.0278,75.97,86,100,21.81
4,Tuatapere,NZ,2022-02-05 02:26:49,-46.1333,167.6833,59.83,52,30,7.78
5,Linqiong,CN,2022-02-05 02:26:49,30.4159,103.4609,42.62,87,98,3.56
6,Mahibadhoo,MV,2022-02-05 02:26:49,3.7833,72.9667,81.52,70,16,9.24
7,Butaritari,KI,2022-02-05 02:26:50,3.0707,172.7902,82.62,77,47,18.12
8,Kaitangata,NZ,2022-02-05 02:23:59,-46.2817,169.8464,58.32,52,17,8.12
9,Rikitea,PF,2022-02-05 02:23:59,-23.1203,-134.9692,79.05,68,4,7.18
10,Alihe,CN,2022-02-05 02:26:50,50.5667,123.7167,5.76,67,100,5.88
11,Harlingen,US,2022-02-05 02:22:15,26.1906,-97.6961,46.35,56,100,11.5
12,Cape Town,ZA,2022-02-05 02:26:51,-33.9258,18.4232,65.88,68,0,3.0
13,Sernovodskoye,RU,2022-02-05 02:26:51,43.3158,45.1637,32.99,97,100,7.34
14,Norman Wells,CA,2022-02-05 02:23:03,65.282,-126.8329,-5.76,59,75,25.32
15,Bengkulu,ID,2022-02-05 02:26:52,-3.8004,102.2655,74.84,90,100,3.42
16,Mataura,NZ,2022-02-05 02:24:07,-46.1927,168.8643,59.49,37,10,3.56
17,Acapulco,MX,2022-02-05 02:25:49,16.8634,-99.8901,76.82,78,20,2.3
18,Aklavik,CA,2022-02-05 02:26:52,68.2191,-135.0107,-21.17,91,6,17.49
19,Denpasar,ID,2022-02-05 02:26:53,-8.65,115.2167,82.06,78,75,14.97
20,Kysyl-Syr,RU,2022-02-05 02:26:53,63.8986,122.7617,-24.92,99,87,3.4
21,Busselton,AU,2022-02-05 02:26:53,-33.65,115.3333,97.05,30,14,6.62
22,Bambous Virieux,MU,2022-02-05 02:26:54,-20.3428,57.7575,80.22,89,75,17.27
23,Punta Arenas,CL,2022-02-05 02:24:00,-53.15,-70.9167,46.51,71,0,3.44
24,Lorengau,PG,2022-02-05 02:26:54,-2.0226,147.2712,85.05,63,96,8.52
25,Ushuaia,AR,2022-02-05 02:24:02,-54.8,-68.3,47.86,71,0,6.91
26,Luderitz,NA,2022-02-05 02:26:55,-26.6481,15.1594,67.84,73,86,4.43
27,Nishihara,JP,2022-02-05 02:26:55,26.1842,127.7558,62.65,50,75,12.66
28,Taltal,CL,2022-02-05 02:26:55,-25.4,-70.4833,68.65,70,0,5.41
29,Sistranda,NO,2022-02-05 02:26:56,63.7256,8.834,35.91,82,100,46.06
30,Leningradskiy,RU,2022-02-05 02:23:24,69.3833,178.4167,-16.17,93,62,8.12
31,Tonaya,MX,2022-02-05 02:26:56,19.7833,-103.9667,66.63,43,4,1.63
32,Clyde River,CA,2022-02-05 02:26:57,70.4692,-68.5914,-12.77,77,0,14.97
33,Gamba,GA,2022-02-05 02:26:57,-2.65,10.0,74.91,87,99,2.04
34,Xiaoshi,CN,2022-02-05 02:26:58,41.2971,124.1209,17.62,58,17,6.08
35,Saskylakh,RU,2022-02-05 02:26:58,71.9167,114.0833,-9.0,99,99,5.28
36,Flin Flon,CA,2022-02-05 02:26:58,54.7682,-101.865,-9.81,95,100,5.75
37,Barrow,US,2022-02-05 02:26:59,71.2906,-156.7887,-20.18,69,100,9.22
38,Yumen,CN,2022-02-05 02:26:59,40.2833,97.2,15.67,36,100,14.74
39,Ati,TD,2022-02-05 02:26:59,13.2154,18.3353,62.49,20,8,15.84
40,Port Alfred,ZA,2022-02-05 02:24:48,-33.5906,26.891,68.86,81,94,8.63
41,Jamestown,US,2022-02-05 02:24:46,42.097,-79.2353,18.72,66,100,1.99
42,Peleduy,RU,2022-02-05 02:27:00,59.6289,112.7406,6.26,96,100,4.72
43,Finnsnes,NO,2022-02-05 02:27:00,69.2296,17.9811,22.96,85,100,7.05
44,Puksoozero,RU,2022-02-05 02:27:01,62.5903,40.6066,-3.69,99,75,5.12
45,Rauma,FI,2022-02-05 02:27:01,61.1272,21.5113,32.04,99,100,7.18
46,Buchanan,LR,2022-02-05 02:27:01,5.8808,-10.0467,78.57,85,25,4.79
47,Cherskiy,RU,2022-02-05 02:27:02,68.75,161.3,-29.61,96,10,4.25
48,Los Llanos De Aridane,ES,2022-02-05 02:28:02,28.6585,-17.9182,58.75,84,0,8.01
49,Aksum,ET,2022-02-05 02:28:02,14.1245,38.7244,55.36,76,4,0.6
50,Cockburn Town,TC,2022-02-05 02:28:03,21.4612,-71.1419,75.7,74,0,18.72
51,Avarua,CK,2022-02-05 02:25:52,-21.2078,-159.775,82.45,74,20,14.97
52,Tubmanburg,LR,2022-02-05 02:28:03,6.8708,-10.8172,72.37,98,13,2.21
53,Hilo,US,2022-02-05 02:28:04,19.7297,-155.09,78.53,80,20,8.05
54,Hobart,AU,2022-02-05 02:26:17,-42.8794,147.3294,67.26,72,75,8.05
55,Bluff,NZ,2022-02-05 02:24:03,-46.6,168.3333,59.81,56,60,5.53
56,Atuona,PF,2022-02-05 02:27:52,-9.8,-139.0333,78.37,77,25,15.9
57,Dolores,AR,2022-02-05 02:28:04,-36.3132,-57.6792,63.1,96,100,2.06
